"","BW11.C","BW11.D","BW14.A","BW14.B","BW16.A","BW16.B","1174.C","1174.D","BW09.A","BW09.B","BW09.C","BW09.D","BW19.C","BW19.D","BW23.A","BW23.B","1179.A","1179.B","1179.C","1179.D","wilcox.pval.2v4","wilcox.pval.3v4","mean.diff.2v4","mean.diff.3v4","median.diff.2v4","median.diff.3v4","mean.p53.2v4","mean.p53.3v4","mean.wt","median.p53.2v4","median.p53.3v4","median.wt","sd.p53.2v4","sd.p53.3v4","sd.wt","partner_a","partner_b","complex1_gene1","complex1_gene2","complex1_gene3","complex_2_gene1","complex_2_gene2","complex_2_gene3","int_name"
"HLA-G-LILRB2",0.0353692394888975,-0.00253100374020558,0.0445478003894568,0.0984898363342817,-0.00312194274733432,-0.0327784709542401,-0.0397977425064789,0.0148752257211275,0.00260218097098388,-0.0233829580474299,-0.0216416068849421,0.00731629128773828,0.0217176683677948,-0.0175498370116965,0.0997617820863353,0.0788393374159267,-0.0228565904670665,0.0423311743079347,-0.000779937482482671,0.0224718647280432,0.23976023976024,0.712787212787213,0.0316949339781717,0.0110552089885401,0.0349992838098161,0.0114598817449849,0.0439689681181076,0.023329243128476,0.0122740341399359,0.0399585199391772,0.0164191178743459,0.00495923612936108,0.0416695845638189,0.0463913712614291,0.0451192777664576,"HLA","G","","","","","","","HLA-G"
"CCL2-ACKR1",0.394142900081481,0.360093529851869,-0.0507834093889739,-0.0230311606668508,0.169877866472812,0.142331143551799,0.0791844925563576,0.0611848822824956,0.0794388820921596,0.18073833046945,0.0919297927074306,0.123416661260989,0.34628874588674,0.23080017275763,0.340244187649725,0.347307937529633,0.414746663117169,0.482031599796635,0.424705465676775,0.44340805420059,1,1,-0.0179479435498795,-0.0226149302022382,0.0164536887272897,0.00402700914708592,0.170105464969381,0.165438478317023,0.188053408519261,0.168531184592509,0.156104505012305,0.15207749586522,0.239709468667699,0.186022938505796,0.11953897284078,"CCL2","ACKR1","","","","","","","CCL2-ACKR1"
"IL6-HRH1",0.218241023114114,0.158121321470173,0.112242951059075,0.213664036230725,0.110082273569867,0.140912738380915,0.0494657920968537,0.0169827127582129,0.110173947137141,0.154116980336009,0.123464678201806,0.0990039592477719,0.190533065606207,0.216922919529269,0.207732258003353,0.215996459788105,0.0868099410463551,0.0543993412487544,0.0469846845549212,0.0484916694074599,0.303696303696304,0.562187812187812,0.0371280556980488,0.0204381133670052,0.0471018495815416,0.0107262006566367,0.175567332968522,0.158877390637478,0.138439277270473,0.185892678850449,0.149517029925544,0.138790829268907,0.0502883130608041,0.0477590874533836,0.0708536511543593,"IL6","HRH1","","","","","","","IL6-HRH1"
"ROS1-FGFR2",0.412369284580306,0.39776173662401,0.111173883237287,0.125428380850914,0.334814038265247,0.340017714015623,0.0997702679245876,0.150821403941439,0.327323555111172,0.398285261092313,0.378189407258117,0.28976837507084,0.189902776745609,0.208341493354167,0.500130295454656,0.453297295052188,0.0458095414378398,0.0731818745310854,0.00360055757029398,0.037815620223474,0.733266733266733,0.957792207792208,-0.0378996917773796,-0.0126555068382776,-0.0469509063535441,0.0288699110494289,0.261683321323129,0.286927506262231,0.299583013100509,0.261595058737462,0.337415876140435,0.308545965091006,0.165773031973986,0.134240724066192,0.134595763246088,"ROS1","FGFR2","","","","","","","ROS1-FGFR2"
"EPHB6-EFNB1",0.13343219051712,0.121197887171723,0.104887024667109,0.178701971444244,0.0105196544637268,-0.0185333968816605,0.166896791400664,0.0841081330434883,0.10782237343631,0.116036368451749,0.0943635844447947,0.100795334542893,0.0892832947211658,0.0593064538298625,0.111218318952558,0.0489495047806199,0.0584121811489215,0.0727684150052553,0.0401825430373758,0.0149201153448525,0.053946053946054,0.712787212787213,0.0366767526896385,-0.00951046053003343,0.0297355793505774,0.0154629964255723,0.134554768450049,0.0883675552303771,0.0978780157604106,0.127315038844421,0.113042455919416,0.0975794594938439,0.0316692122419637,0.076197061476558,0.0325512869770834,"EPHB6","EFNB1","","","","","","","EPHB6-EFNB1"
"TNFRSF13B-TNFSF13",0.0981229435596747,0.0134105821757279,0.00675709325421218,0.0110649464280373,-0.00809655530150408,-0.0255115383579947,-0.00191861070394046,0.0236182736716334,0.0242115147388311,-0.02608978784468,0.0332488643008669,0.00857645374935118,0.0435854213778949,0.0268047153669056,0.0193257468336601,0.0382092890164549,0.00439037891703066,0.0122805730977113,0.025117118907659,-0.014998306430977,0.839160839160839,0.313186813186813,0.0133817033037152,-0.00299927609100556,-0.0116771299033496,-0.0150038743641075,0.032338891354413,0.0159579119596922,0.0189571880506978,0.0122377643018826,0.00891101984112474,0.0239148942052322,0.043942506147914,0.0428124051841765,0.0207238111111047,"TNFRSF13B","TNFSF13","","","","","","","TNFRSF13B-TNFSF13"
"LGR5-RSPO3",0.0743445261430555,0.0751167437243187,-0.0067664534234775,0.0445037946328004,-0.000642123533424669,0.0192236398820752,0.0285881439290663,0.0574089257430072,0.00840008712481401,0.0144017392667391,-0.0108483023201151,-0.0255215703047123,0.0236669980045166,-0.0128230977984496,0.00513605983194145,0.0459752461006728,-0.00869544143532939,-0.000780758591420955,-0.00652964127717709,-0.0134634441013926,0.141858141858142,0.313186813186813,0.0333612298114262,0.0208582649464766,0.0480232471921514,0.0204628040616613,0.0467996527691743,0.0342966879042246,0.013438422957748,0.059424160387928,0.0318637172574378,0.0114009131957766,0.03844986513444,0.0360787755600995,0.0262865055797108,"LGR5","RSPO3","","","","","","","LGR5-RSPO3"
"CCR2-CCL11",0.0586030403584314,0.0491059748823833,0.0708492104355988,0.109148644952361,0.00513808811349184,0.0545789235751378,0.0109768966093931,0.033357368559552,0.0192246355508233,0.104852033099434,0.0575867726086807,0.0659713061289819,0.119930256286078,0.0581613544751856,0.0270349873363939,0.0677664260200207,0.109941028518437,0.0803231487827021,0.079244958401655,0.0612899573666762,0.373626373626374,0.957792207792208,0.0154405139897394,0.00141777671877975,0.00685206185508197,-0.00128308157514853,0.0719267176571936,0.057903980386234,0.0564862036674543,0.0647261253970151,0.0565909819667846,0.0578740635419332,0.0263624706159781,0.03366536381313,0.0356642801083361,"CCR2","CCL11","","","","","","","CCR2-CCL11"
"NRP1-VEGFA",0.355596137916833,0.281978363033494,0.620731793550582,0.673778435173997,0.216728598891509,0.224278850876219,0.294723177183654,0.296098393675929,0.0598693221789704,0.114417660833944,0.0303801020476457,0.101576739350506,0.289638721852032,0.353502292659245,0.177069187009985,0.11850003300769,0.194358305661753,0.209024026026995,0.136811225456934,0.115499603670448,0.023976023976024,0.055944055944056,0.299443619438767,0.211937800260479,0.34037935572487,0.171002640466326,0.483021182418727,0.395515363240439,0.18357756297996,0.488163965733708,0.318787250475164,0.147784610008838,0.193225170107934,0.201952282939804,0.115323472583805,"NRP1","VEGFA","","","","","","","NRP1-VEGFA"
"TNFSF10-RIPK1",0.51473542128447,0.447279925503779,0.388751386515199,0.445379259816721,0.204136424374127,0.201660932236686,0.279523131165443,0.298980013233889,0.244028759444322,0.314676440905235,0.255893099797427,0.244159880356168,0.353306252730605,0.312762444732603,0.562510993890681,0.457733932022071,0.217100111271565,0.188257000075703,0.189216907835629,0.178694410646496,0.0759240759240759,0.792457542457542,0.116679003452198,0.0346330634606525,0.140458363677004,0.111194094182714,0.449036498280042,0.366990558288497,0.332357494827844,0.44632959266025,0.41706532316596,0.305871228983246,0.0515334976028127,0.133228077660344,0.102825869480389,"TNFSF10","RIPK1","","","","","","","TNFSF10-RIPK1"
