"","BW11.C","BW11.D","BW14.A","BW14.B","BW16.A","BW16.B","1174.C","1174.D","BW09.A","BW09.B","BW09.C","BW09.D","BW19.C","BW19.D","BW23.A","BW23.B","1179.A","1179.B","1179.C","1179.D","wilcox.pval.2v4","wilcox.pval.3v4","mean.diff.2v4","mean.diff.3v4","median.diff.2v4","median.diff.3v4","mean.p53.2v4","mean.p53.3v4","mean.wt","median.p53.2v4","median.p53.3v4","median.wt","sd.p53.2v4","sd.p53.3v4","sd.wt","partner_a","partner_b","complex1_gene1","complex1_gene2","complex1_gene3","complex_2_gene1","complex_2_gene2","complex_2_gene3","int_name"
"TNFRSF10B-TNFSF10",0.497605368110295,0.485290580672042,0.470998928639771,0.533670767145481,0.288594276530024,0.345802599979852,0.226869981754204,0.330952401101521,0.391327266743701,0.47029205886797,0.419686195169848,0.40278341192157,0.426490433789919,0.398695686860368,0.554711251448712,0.452284465565667,0.322243238326642,0.327702708833773,0.292307420987361,0.328439695036684,0.023976023976024,0.367632367632368,0.0894820958195494,0.0295844381905629,0.0802131708454601,0.066909951110198,0.496891411141897,0.436993753512911,0.407409315322348,0.491447974391169,0.478144754655907,0.411234803545709,0.0268218237032479,0.096796053111215,0.0862662281542544,"TNFRSF10B","TNFSF10","","","","","","","TNFRSF10B-TNFSF10"
"CD6-ALCAM",0.0558393351906743,0.0151550594436339,0.264067323110454,0.295629693376032,-0.0492917666311009,-0.0728211320662395,0.161734316420308,0.172393860549329,0.0302368562105534,0.113417629923054,0.00521902467314272,0.0310536120110343,0.0604838581407517,0.112944694125127,0.342506057230938,0.283736574893323,0.10337840025931,0.071032728204783,0.0420114109410671,0.0294810613082173,0.945054945054945,0.367632367632368,0.0263002043624427,-0.046609563013847,0.0467721671264739,-0.0776839647069364,0.157672852780199,0.0847630854039091,0.131372648417756,0.159953329150564,0.0354971973171541,0.11318116202409,0.142633866836526,0.158177170016084,0.11169946793224,"CD6","ALCAM","","","","","","","CD6-ALCAM"
"CD70-GPRC5B",0.068156951670855,0.0851288898530779,0.0244902174350735,0.088246995506932,0.00843972651983967,-0.0162429153410478,0.170657489783318,0.0992874394457771,0.0815609673518616,0.0723177407007496,0.0646244350650137,0.0741734605511368,-0.0143241785624327,0.029522448144236,0.118059441808703,0.038684286018425,0.00484707185789498,0.0502230769474251,0.00488496737580212,0.0233365706881991,0.945054945054945,0.313186813186813,-0.00695058941419428,-0.0304197087565572,0.00339732013602324,-0.026922016072979,0.0665057636164846,0.0430366442741217,0.0734563530306789,0.0766429207619665,0.0463235845529642,0.0732456006259432,0.0293685463143337,0.0435929941503007,0.0506567382147901,"CD70","GPRC5B","","","","","","","CD70-GPRC5B"
"CCL2-CCR10",0.244726552693062,0.177664091526699,0.0606429546078012,0.149457490419914,0.100040966665774,0.0625610011152822,0.0600821293619346,0.0905212994887323,0.0789419142856634,0.189593829698419,0.128322485540288,0.132270080246019,0.104158204339423,0.0775662178484396,0.0332566422693066,0.0890019599093192,0.182135657364477,0.21248665954566,0.21650913522006,0.202914359791475,0.187812187812188,0.427822177822178,0.0597512960131145,0.0341440332060008,0.0737991612742804,0.0349875988438178,0.158122772311869,0.132515509504755,0.0983714762987545,0.163560790973306,0.124749228542844,0.0897616296990258,0.0762877882382564,0.0721534984783956,0.0435468811964072,"CCL2","CCR10","","","","","","","CCL2-CCR10"
"TNF-FAS",0.37512925198647,0.36572193423635,0.346059487481498,0.423964440586937,0.284710379739956,0.301195278638182,0.243317952916404,0.232077425435573,0.284953608915262,0.356356893636027,0.300352878199906,0.285220637257349,0.298066590247398,0.248812631067432,0.367058732194138,0.328746981594703,0.180285552465038,0.245891662138774,0.210422280482583,0.185616597119273,0.013986013986014,0.0726773226773227,0.0832223454263946,0.0549670289651464,0.0787819793590371,0.0642470971065507,0.377718778572814,0.349463462111566,0.294496433146419,0.37042559311141,0.355890710858924,0.291643613752373,0.0331240189263717,0.0510055540804129,0.0460574916970455,"TNF","FAS","","","","","","","TNF-FAS"
"CCR1-CCL7",0.183378872501875,0.216282552851648,0.357923685239799,0.375151522644,0.263200393520736,0.320316734677003,0.112586945573536,0.0875736758389356,0.0921112548326021,0.102216399005296,0.0800270833984611,0.113411600445394,0.376896310677844,0.368194902314781,0.211840365595543,0.198917424047716,0.0460583278484653,0.092431840682484,0.0490295192297268,0.118013092648813,0.141858141858142,0.0726773226773227,0.10880656213632,0.1116646973995,0.174103846036259,0.178759291089405,0.283184158309331,0.28604229357251,0.174377596173011,0.287103119045724,0.29175856409887,0.112999273009465,0.0974352996888695,0.077730403750541,0.113789037944315,"CCR1","CCL7","","","","","","","CCR1-CCL7"
"CCL3-CCR3",0.0573808706963848,-0.0172579584540187,-0.0236973505503147,-0.0143363974186565,-0.0159721670657986,0.0185102957961234,-0.0265469854028371,0.0402781043320624,0.018436393724884,0.0291474719964316,0.0272466911860122,0.0318707940137657,0.0254745321186154,0.113663576179065,-0.00748651533036816,-0.0250316701108772,0.0449326817569668,-0.000275585887988434,0.00486772266230785,0.00985488212858217,0.53946053946054,0.367632367632368,-0.0221829482023267,-0.0219340237700555,-0.0421577895886514,-0.0415148938945414,0.000522291068348718,0.000771215500619947,0.0227052392706754,-0.0157971779363376,-0.0151542822422275,0.0263606116523138,0.0381068979498713,0.0314695748210026,0.0399588502295388,"CCL3","CCR3","","","","","","","CCL3-CCR3"
"NOTCH1-JAG2",0.357369839149181,0.320403624637245,0.155762993383197,0.22016097749166,0.324786086775859,0.326543595883171,0.12670713529563,0.154950889692552,0.290691729226528,0.305804969968589,0.330460855473409,0.299924863570209,0.398075605748915,0.356609564337274,0.450424569547043,0.376306577264069,0.289078883016175,0.319194954800304,0.294724299698342,0.287212677858763,0.635364635364635,0.712787212787213,-0.0455713173471011,-0.0248244897923696,-0.0478506116565465,0.00446194298555325,0.263424358665321,0.284171186220052,0.308995676012422,0.270282301064452,0.322594855706552,0.318132912720999,0.0922588383824391,0.0783604421135963,0.101424499838085,"NOTCH1","JAG2","","","","","","","NOTCH1-JAG2"
"CXCL17-GPR35",-0.0240758485630311,-0.0264297850414406,0.0455236974969644,0.0814002361575272,-0.0610457532743076,-0.0392068231354253,0.0951503862148882,0.104827587055384,-0.0644377773602075,-0.0769049753485113,-0.0888871547316067,-0.0803537746496436,0.121459867599844,0.118710445286235,0.0559197954474658,0.0660201137006394,-0.116085104398754,-0.113160885350413,-0.0893084704584266,-0.0367619144945702,0.839160839160839,0.712787212787213,-0.00604587630894365,-0.0291228307147341,-0.050246030107086,-0.0862227713762884,0.019104575012505,-0.00397237939328551,0.0251504513214486,0.0107239244669666,-0.0252528168022359,0.0609699545740526,0.0532811610109657,0.0550375611498149,0.090964933990177,"CXCL17","GPR35","","","","","","","CXCL17-GPR35"
"EGFR-GRN",0.700586950090456,0.655704290709294,0.611278020374319,0.628992685100449,0.189978454869835,0.178186393445304,0.203169408453798,0.249504477710987,0.225176843755033,0.268855608598061,0.200359791965503,0.207796580864496,0.599603680174404,0.565582563299928,0.529862687742893,0.47935106577162,0.0953138650126472,0.0548640971036833,0.0785844029800116,0.118281172228068,0.001998001998002,0.313186813186813,0.296214215734957,0.141194861597937,0.383168444750348,0.36095530958286,0.64914048656863,0.49412113243161,0.352926270833672,0.642348487904872,0.620135352737384,0.259180043154524,0.0388558120234976,0.242062326942894,0.168064902239626,"EGFR","GRN","","","","","","","EGFR-GRN"
