"","BW11.C","BW11.D","BW14.A","BW14.B","1174.C","1174.D","BW09.A","BW09.B","BW09.C","BW09.D","BW19.C","BW19.D","BW23.A","BW23.B","wilcox.pval.2v4","mean.diff.2v4","median.diff.2v4","mean.p53.2v4","mean.wt","median.p53.2v4","median.wt","sd.p53.2v4","sd.wt"
"HLA.D.AT2:hypoxia1",-0.0178395401460865,-0.0382840247721174,-0.138766912039404,-0.104615508564527,-0.302799851776193,-0.257253487192075,-0.0792178482149749,-0.0271004281906691,-0.102656786070268,-0.0913890286113605,-0.0101841109608741,-0.0229219218798101,-0.106258823988071,-0.134482066461737,0.839160839160839,0.0385499389540694,0.0255731406724919,-0.0748764963805338,-0.112625441991869,-0.0714497666683223,-0.0970229073408143,0.0564464862019653,0.0972495701422238
"AT.SFTPC:hypoxia1",0.0303459911508564,-0.0319247112882834,0.0565302571718904,-0.0270589800291394,-0.344089184480953,-0.26656508659672,-0.107321159039896,-0.064850302821512,-0.140002667542112,-0.132612186389232,-0.0433777137716449,-0.0430966024876401,-0.259750799294198,-0.149996052902595,0.001998001998002,0.162139314783981,0.13795093252653,0.00697313925133102,-0.143520066850513,0.00164350556085851,-0.136307426965672,0.043487262739917,0.102906246784097
"OxPhos:hypoxia1",0.00586657186177508,-0.0204598149475199,-0.0580502391225907,-0.10295336567145,-0.169011682685454,-0.0893518713896938,-0.0663714045076017,-0.0558013397538375,-0.0903216943520003,-0.0629734017093475,-0.0369869522764593,-0.0227501954186929,-0.0252132067389507,0.0380192580168703,0.635364635364635,0.0141770371115705,0.0201323436965372,-0.0438992119699463,-0.0621559869533288,-0.0392550270350553,-0.0593873707315925,0.0473063886173112,0.054190594903367
"metallothionein:hypoxia1",0.0504051270129611,0.0214395595900642,0.203845581967698,0.106263950221913,-0.12886298807,-0.101113087312212,-0.00411274091203903,-0.0413844948504385,-0.0404303777100661,-0.0386123514603509,-0.0119990155120107,-0.023394655049465,-0.0610563317690678,-0.0556577346441167,0.001998001998002,0.146150932427136,0.11924197489769,0.0954885546981591,-0.0363963479152594,0.0783345386174372,-0.0409074362802523,0.0803598648492103,0.038779757692875
"Hypoxia:hypoxia1",0.0589369421881681,0.0978857949560429,0.211494130806583,0.134716536126879,0.0378182905276738,0.0675278130437069,-0.0603508911067745,-0.0251245209261509,-0.0313063820178346,-0.0119590792406349,-0.00136233590515298,-0.0217843466225431,-0.106499276576429,-0.0670359270452879,0.003996003996004,0.147766016606361,0.139755599315808,0.125758351019418,-0.00776001088568619,0.116301165541461,-0.023454433774347,0.0649944948331056,0.0503937397683136
"CC.S:hypoxia1",0.0197014732489331,-0.0114039673999511,-0.00409352094938116,-0.0734643582230679,-0.099674362996191,-0.00801315341302945,-0.0696246027863009,-0.0350450094462515,-0.0374701121339515,-0.0509820349801772,-0.00761032649869329,0.00439728724047809,-0.136598775383109,-0.109227260763609,0.23976023976024,0.0376697417852167,0.0364773293823982,-0.0173150933308668,-0.056664791762173,-0.00774874417466615,-0.0442260735570643,0.0397186670441886,0.0477398699757991
"JUN.FOS:hypoxia1",0.0639537150539002,0.0264269644838126,0.0205881104035061,-0.0681359982915465,-0.0725510159843,-0.0465151068952076,-0.0592528872527436,-0.0422327415888505,-0.0663461969960495,-0.0277142679421653,-0.0468952730201108,-0.0511158859483829,-0.0684530594936895,-0.0729356428998755,0.0759240759240759,0.0661094057145556,0.0786919240442226,0.0107081979124181,-0.0565589160284474,0.0235075374436593,-0.0551843866005632,0.0559648242621223,0.0149673876253963
"pEMT:hypoxia1",0.0610456865910046,0.0576378884624213,0.198322094996258,0.0807719849931147,0.101859660776509,0.118872879545588,-0.0162573845609092,-0.0136180993392772,-0.0141095843955317,-0.0316851853395615,0.00490339166783326,-0.029618490473677,-0.116896738392063,-0.0256793759520528,0.053946053946054,0.101667306407014,0.0860923202702801,0.0994444137606996,0.0053220962299975,0.0709088357920597,-0.0151834844782205,0.0667025817800416,0.0677701196167064
"TNFA.NFKB:hypoxia1",0.0051375841375881,0.011073710610081,0.00159390602851251,0.00328978998720242,-0.144149986187455,-0.0688619472788072,-0.0232742920780884,-0.0290648611947144,-0.0237787237179293,-0.01805833308157,-0.0508474867791338,-0.047918891266554,-0.160812844377459,-0.0710138960594151,0.001998001998002,0.0690518738929587,0.0535968760852392,0.00527374769084601,-0.0576810429121749,0.00421368706239526,-0.0493831890228439,0.00412857655887309,0.0504514219686904
"S100A.KRT.Trachea.ECM.KRASup:hypoxia1",0.0164322708839636,0.000731700930669829,0.0661293963300336,0.0278890132218608,-0.103051347719517,-0.101574674914659,-0.032625316934673,-0.0228832814836951,-0.0568984143662328,-0.0303664192944014,-0.0194274582240354,-0.00509047206450387,-0.081516251189223,-0.0504278369618104,0.001998001998002,0.0781817426569071,0.0636872190011539,0.0277955953416319,-0.0432702236300809,0.0221606420529122,-0.0415265769482417,0.027875129587362,0.0347821254865258
