,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
OxPhos.CA11,3.95E-73,0.989798154,0.586,0.246,1.23E-68,OxPhos,CA11
OxPhos.MTUS1,6.28E-71,0.984878327,0.755,0.54,1.96E-66,OxPhos,MTUS1
OxPhos.CAPS,2.60E-97,0.980190635,0.719,0.344,8.12E-93,OxPhos,CAPS
OxPhos.SEPW11,6.99E-83,0.97866846,0.882,0.51,2.18E-78,OxPhos,SEPW1
OxPhos.NDUFB1,1.10E-99,0.976740009,0.926,0.789,3.43E-95,OxPhos,NDUFB1
OxPhos.TOMM72,1.28E-124,0.963504084,0.968,0.914,4.00E-120,OxPhos,TOMM7
OxPhos.PET100,4.35E-80,0.960697852,0.849,0.659,1.36E-75,OxPhos,PET100
OxPhos.AGR3,2.31E-93,0.942714376,0.899,0.633,7.22E-89,OxPhos,AGR3
OxPhos.ATPIF13,4.33E-78,0.936052138,0.839,0.479,1.35E-73,OxPhos,ATPIF1
OxPhos.LLNLR-245B6.1,4.92E-81,0.928127904,0.608,0.28,1.53E-76,OxPhos,LLNLR-245B6.1
OxPhos.UQCR112,7.37E-115,0.927945007,0.96,0.882,2.30E-110,OxPhos,UQCR11
OxPhos.RP11-792A8.4,3.61E-78,0.908458474,0.584,0.254,1.13E-73,OxPhos,RP11-792A8.4
OxPhos.PKIG,9.28E-60,0.872773381,0.565,0.271,2.89E-55,OxPhos,PKIG
OxPhos.MMP24-AS12,4.32E-74,0.870543944,0.742,0.408,1.35E-69,OxPhos,MMP24-AS1
OxPhos.SOX41,1.07E-75,0.869905672,0.921,0.822,3.34E-71,OxPhos,SOX4
OxPhos.TMSB103,1.14E-108,0.865699418,1,0.993,3.55E-104,OxPhos,TMSB10
OxPhos.BASP1,1.70E-65,0.860933524,0.722,0.401,5.30E-61,OxPhos,BASP1
OxPhos.ARL4A1,3.78E-54,0.858652995,0.706,0.498,1.18E-49,OxPhos,ARL4A
OxPhos.RP11-140K17.3,2.57E-70,0.858561193,0.517,0.197,8.03E-66,OxPhos,RP11-140K17.3
OxPhos.AC007325.4,4.46E-59,0.851808123,0.522,0.26,1.39E-54,OxPhos,AC007325.4
OxPhos.LPCAT12,5.13E-63,0.847172944,0.899,0.69,1.60E-58,OxPhos,LPCAT1
OxPhos.COX6C1,7.95E-107,0.842632967,0.983,0.945,2.48E-102,OxPhos,COX6C
OxPhos.MARCKSL11,8.16E-77,0.841565318,0.875,0.691,2.55E-72,OxPhos,MARCKSL1
OxPhos.TSPAN14,4.00E-71,0.84086389,0.795,0.499,1.25E-66,OxPhos,TSPAN1
OxPhos.RP11-22N19.21,6.84E-71,0.837118094,0.454,0.131,2.14E-66,OxPhos,RP11-22N19.2
OxPhos.AQP51,2.12E-53,0.836986352,0.71,0.342,6.61E-49,OxPhos,AQP5
OxPhos.U47924.271,5.99E-65,0.83565531,0.484,0.178,1.87E-60,OxPhos,U47924.27
OxPhos.XIST1,5.38E-69,0.834765411,0.768,0.4,1.68E-64,OxPhos,XIST
OxPhos.HES1,1.01E-67,0.833916094,0.795,0.565,3.14E-63,OxPhos,HES1
OxPhos.UQCR101,1.73E-93,0.823885303,0.987,0.919,5.41E-89,OxPhos,UQCR10
OxPhos.CTD-2256P15.2,1.43E-71,0.817265814,0.458,0.138,4.47E-67,OxPhos,CTD-2256P15.2
OxPhos.MYL62,4.17E-107,0.815419285,0.995,0.981,1.30E-102,OxPhos,MYL6
OxPhos.NDUFA43,2.85E-106,0.815294482,0.987,0.947,8.90E-102,OxPhos,NDUFA4
OxPhos.RP11-519G16.5,1.03E-62,0.81245768,0.331,0.046,3.21E-58,OxPhos,RP11-519G16.5
OxPhos.BAX,8.48E-54,0.804294464,0.722,0.532,2.65E-49,OxPhos,BAX
OxPhos.STEAP13,4.69E-60,0.803536283,0.626,0.318,1.46E-55,OxPhos,STEAP1
OxPhos.OST41,1.78E-104,0.801649829,0.983,0.939,5.56E-100,OxPhos,OST4
OxPhos.MIF4,8.15E-69,0.801083145,0.889,0.747,2.54E-64,OxPhos,MIF
OxPhos.RP11-350J20.121,1.55E-61,0.800020091,0.58,0.245,4.85E-57,OxPhos,RP11-350J20.12
OxPhos.C17orf893,5.13E-59,0.79494582,0.757,0.423,1.60E-54,OxPhos,C17orf89
OxPhos.CRIP21,3.92E-66,0.793890112,0.84,0.629,1.22E-61,OxPhos,CRIP2
OxPhos.S100A63,1.23E-101,0.78820801,1,0.989,3.85E-97,OxPhos,S100A6
OxPhos.ARHGDIB2,3.49E-63,0.787853419,0.804,0.599,1.09E-58,OxPhos,ARHGDIB
OxPhos.PAFAH1B33,4.35E-55,0.785629834,0.734,0.529,1.36E-50,OxPhos,PAFAH1B3
OxPhos.C4orf48,3.83E-66,0.780070315,0.884,0.698,1.19E-61,OxPhos,C4orf48
OxPhos.GCHFR1,1.57E-48,0.778345231,0.733,0.528,4.89E-44,OxPhos,GCHFR
OxPhos.MDK,3.54E-84,0.778312195,0.957,0.851,1.10E-79,OxPhos,MDK
OxPhos.CAPNS2,8.14E-70,0.777182167,0.438,0.12,2.54E-65,OxPhos,CAPNS2
OxPhos.SLC25A372,5.48E-52,0.776861796,0.746,0.585,1.71E-47,OxPhos,SLC25A37
OxPhos.MRPL363,5.27E-47,0.776429099,0.739,0.564,1.64E-42,OxPhos,MRPL36
OxPhos.CXCL14,1.84E-23,0.776323949,0.302,0.141,5.73E-19,OxPhos,CXCL14
OxPhos.LIPE-AS1,2.16E-57,0.773104543,0.421,0.14,6.73E-53,OxPhos,LIPE-AS1
OxPhos.FIS11,9.56E-73,0.769347739,0.9,0.792,2.98E-68,OxPhos,FIS1
OxPhos.PPDPF2,5.13E-94,0.760748265,0.991,0.964,1.60E-89,OxPhos,PPDPF
OxPhos.LINC009982,1.86E-52,0.760503374,0.61,0.349,5.82E-48,OxPhos,LINC00998
OxPhos.SLC2A31,2.29E-48,0.759422472,0.488,0.209,7.16E-44,OxPhos,SLC2A3
OxPhos.USMG53,1.82E-67,0.756784901,0.835,0.489,5.67E-63,OxPhos,USMG5
OxPhos.SOX2,1.17E-33,0.754370714,0.455,0.219,3.64E-29,OxPhos,SOX2
OxPhos.GDF15,1.08E-34,0.753617679,0.676,0.436,3.38E-30,OxPhos,GDF15
OxPhos.COX7A23,3.43E-80,0.752523462,0.984,0.925,1.07E-75,OxPhos,COX7A2
OxPhos.CLDN10,3.04E-50,0.750455545,0.561,0.239,9.49E-46,OxPhos,CLDN10
OxPhos.GPX13,3.43E-62,0.74530686,0.866,0.504,1.07E-57,OxPhos,GPX1
OxPhos.TCEB23,8.54E-58,0.743448193,0.879,0.519,2.67E-53,OxPhos,TCEB2
Secretory.SCGB1A12,8.76E-05,2.589782481,0.466,0.395,1,Secretory,SCGB1A1
Secretory.BPIFB11,6.23E-12,2.451501228,0.305,0.189,1.94E-07,Secretory,BPIFB1
Secretory.S100A91,1.80E-64,1.966490674,0.73,0.481,5.61E-60,Secretory,S100A9
Secretory.LCN2,2.44E-68,1.898138051,0.733,0.439,7.63E-64,Secretory,LCN2
Secretory.SLPI1,8.34E-27,1.576071518,0.897,0.751,2.60E-22,Secretory,SLPI
Secretory.LTF3,0.004444825,1.539075811,0.144,0.101,1,Secretory,LTF
Secretory.SAA12,1.21E-13,1.471593725,0.241,0.141,3.78E-09,Secretory,SAA1
Secretory.MSMB,1.30E-10,1.447330808,0.314,0.192,4.07E-06,Secretory,MSMB
Secretory.BPIFA1,0.00105794,1.425034127,0.115,0.064,1,Secretory,BPIFA1
Secretory.C15orf483,2.61E-30,1.295995609,0.515,0.289,8.13E-26,Secretory,C15orf48
Secretory.MUC5B,4.16E-16,1.115794681,0.351,0.195,1.30E-11,Secretory,MUC5B
Secretory.SAA21,8.57E-21,1.087682565,0.199,0.079,2.67E-16,Secretory,SAA2
Secretory.WFDC22,2.33E-33,1.07866497,0.97,0.954,7.27E-29,Secretory,WFDC2
Secretory.TFF31,2.83E-06,0.970067942,0.544,0.453,0.088352041,Secretory,TFF3
Secretory.SERPINB31,0.003481802,0.921161542,0.107,0.07,1,Secretory,SERPINB3
Secretory.SERPINA14,5.26E-11,0.79990224,0.744,0.612,1.64E-06,Secretory,SERPINA1
Secretory.CST63,9.49E-10,0.746128659,0.507,0.399,2.96E-05,Secretory,CST6
Secretory.S100P1,4.48E-16,0.739946159,0.534,0.385,1.40E-11,Secretory,S100P
Secretory.TSPAN8,1.19E-14,0.668340911,0.503,0.362,3.70E-10,Secretory,TSPAN8
Secretory.PDZK1IP12,6.60E-16,0.623778166,0.567,0.441,2.06E-11,Secretory,PDZK1IP1
Secretory.RARRES11,0.000126464,0.6095637,0.121,0.072,1,Secretory,RARRES1
Secretory.HP3,0.000445237,0.599006976,0.106,0.068,1,Secretory,HP
Secretory.SPP1,2.55E-05,0.577507947,0.137,0.094,0.795543888,Secretory,SPP1
Secretory.LGALS31,3.38E-36,0.575480009,0.967,0.896,1.06E-31,Secretory,LGALS3
Secretory.CSTB,1.35E-17,0.572943938,0.977,0.946,4.22E-13,Secretory,CSTB
Secretory.SRD5A31,7.10E-29,0.572208779,0.743,0.534,2.22E-24,Secretory,SRD5A3
Secretory.PIP,2.07E-11,0.549967231,0.104,0.029,6.47E-07,Secretory,PIP
Secretory.TMEM45A,7.45E-05,0.549277848,0.215,0.144,1,Secretory,TMEM45A
Secretory.C19orf335,1.28E-05,0.544969242,0.744,0.667,0.398435484,Secretory,C19orf33
Secretory.AGR23,1.41E-22,0.538986905,0.916,0.791,4.39E-18,Secretory,AGR2
Secretory.KRT195,4.75E-11,0.524750948,0.954,0.909,1.48E-06,Secretory,KRT19
Secretory.MUC21,1.42E-08,0.524435281,0.275,0.157,0.000443183,Secretory,MUC21
Secretory.CP3,2.82E-13,0.522330719,0.711,0.588,8.79E-09,Secretory,CP
Secretory.CEACAM62,1.70E-10,0.514457247,0.826,0.727,5.31E-06,Secretory,CEACAM6
Secretory.CXCL6,2.54E-05,0.509050431,0.227,0.139,0.792647188,Secretory,CXCL6
Secretory.IGFBP33,4.00E-13,0.505908203,0.455,0.29,1.25E-08,Secretory,IGFBP3
Secretory.S100A64,6.47E-16,0.491052459,0.997,0.989,2.02E-11,Secretory,S100A6
Secretory.AZGP11,5.67E-09,0.489946191,0.26,0.182,0.00017701,Secretory,AZGP1
Secretory.PIGR4,0.003401279,0.4762603,0.373,0.336,1,Secretory,PIGR
Secretory.CCL205,2.70E-05,0.459258095,0.239,0.17,0.841461644,Secretory,CCL20
Secretory.CYBA2,3.50E-13,0.442705606,0.726,0.629,1.09E-08,Secretory,CYBA
Secretory.RAB11FIP11,5.93E-13,0.432434698,0.647,0.534,1.85E-08,Secretory,RAB11FIP1
Secretory.ERO1A1,1.27E-20,0.425796019,0.767,0.626,3.98E-16,Secretory,ERO1A
Secretory.TGM22,7.03E-20,0.423278608,0.444,0.292,2.19E-15,Secretory,TGM2
Secretory.CPD2,1.89E-18,0.420247828,0.71,0.561,5.89E-14,Secretory,CPD
Secretory.TACSTD21,2.85E-15,0.416783396,0.881,0.782,8.90E-11,Secretory,TACSTD2
Secretory.ASS1,2.41E-11,0.410441096,0.42,0.278,7.52E-07,Secretory,ASS1
Secretory.RHOV1,6.71E-19,0.407150599,0.395,0.212,2.09E-14,Secretory,RHOV
Secretory.CTSC1,1.81E-08,0.40012173,0.763,0.67,0.000565998,Secretory,CTSC
Secretory.ITGB82,7.05E-06,0.399528799,0.384,0.287,0.220106515,Secretory,ITGB8
Secretory.DEFB1,1.47E-06,0.397391611,0.157,0.112,0.045932299,Secretory,DEFB1
Secretory.AGR31,6.92E-11,0.39548485,0.754,0.639,2.16E-06,Secretory,AGR3
Secretory.DHRS9,4.55E-14,0.394761864,0.118,0.026,1.42E-09,Secretory,DHRS9
Secretory.CRIP14,7.47E-05,0.394406707,0.467,0.401,1,Secretory,CRIP1
Secretory.CEACAM5,1.41E-07,0.393600975,0.191,0.111,0.004385979,Secretory,CEACAM5
Secretory.TREM12,3.67E-13,0.387555952,0.364,0.231,1.15E-08,Secretory,TREM1
Secretory.SH3BGRL33,2.98E-08,0.385076005,0.899,0.844,0.000930499,Secretory,SH3BGRL3
Secretory.APOL11,6.46E-07,0.383924471,0.414,0.318,0.020143811,Secretory,APOL1
Secretory.EMP12,1.31E-07,0.382836717,0.499,0.395,0.004096975,Secretory,EMP1
Secretory.ECM1,0.000337743,0.382234438,0.199,0.144,1,Secretory,ECM1
Secretory.TIMP11,1.20E-07,0.377502312,0.897,0.835,0.003748625,Secretory,TIMP1
Secretory.CTA-293F17.13,0.000790303,0.375203508,0.276,0.212,1,Secretory,CTA-293F17.1
Secretory.IGF22,0.001101589,0.375098726,0.29,0.226,1,Secretory,IGF2
Secretory.LYZ,0.008018686,0.375019194,0.18,0.153,1,Secretory,LYZ
Secretory.KRT75,2.74E-14,0.374534142,0.918,0.828,8.54E-10,Secretory,KRT7
Secretory.SFTA23,1.30E-08,0.368918425,0.855,0.833,0.000406688,Secretory,SFTA2
Secretory.XBP1,0.002769054,0.367959364,0.841,0.807,1,Secretory,XBP1
Secretory.SAT12,4.79E-12,0.36736136,0.985,0.973,1.49E-07,Secretory,SAT1
Secretory.HEBP21,1.31E-14,0.366358228,0.816,0.723,4.10E-10,Secretory,HEBP2
Secretory.CLDN31,6.66E-16,0.364831917,0.733,0.61,2.08E-11,Secretory,CLDN3
Secretory.RAMP12,2.24E-08,0.360583815,0.541,0.45,0.000700147,Secretory,RAMP1
Secretory.TSPAN16,1.52E-17,0.358878744,0.67,0.502,4.76E-13,Secretory,TSPAN1
Secretory.CD552,3.63E-05,0.353094427,0.836,0.737,1,Secretory,CD55
Secretory.NAMPT3,2.50E-09,0.34670817,0.769,0.673,7.81E-05,Secretory,NAMPT
Secretory.RP11-350J20.122,0.000586201,0.322395611,0.333,0.259,1,Secretory,RP11-350J20.12
Secretory.C36,1.57E-06,0.316699314,0.425,0.357,0.049048473,Secretory,C3
Secretory.SLC16A34,3.82E-15,0.316462907,0.683,0.535,1.19E-10,Secretory,SLC16A3
Secretory.LY6E3,1.51E-08,0.316175852,0.924,0.893,0.000472619,Secretory,LY6E
Secretory.SPINT11,4.97E-17,0.311998396,0.821,0.683,1.55E-12,Secretory,SPINT1
Secretory.CLDN101,7.42E-05,0.311498057,0.348,0.25,1,Secretory,CLDN10
Secretory.BPIFA22,4.85E-11,0.308400537,0.17,0.094,1.51E-06,Secretory,BPIFA2
Secretory.CXCL83,0.000286547,0.308342304,0.37,0.277,1,Secretory,CXCL8
Secretory.TMC52,1.22E-12,0.306499479,0.7,0.567,3.79E-08,Secretory,TMC5
Secretory.CST32,1.36E-13,0.300662728,0.992,0.963,4.26E-09,Secretory,CST3
Secretory.HLA-C3,1.95E-08,0.297915577,0.963,0.93,0.000608117,Secretory,HLA-C
Secretory.B2M2,5.47E-05,0.297740934,0.999,0.996,1,Secretory,B2M
Secretory.CCND13,0.00011905,0.297116953,0.722,0.674,1,Secretory,CCND1
Secretory.CLDN43,2.81E-08,0.296831191,0.886,0.83,0.000877887,Secretory,CLDN4
Secretory.TNFAIP23,4.24E-05,0.295121416,0.324,0.225,1,Secretory,TNFAIP2
Secretory.EIF64,7.83E-05,0.294315621,0.764,0.689,1,Secretory,EIF6
Secretory.CDC42EP5,1.67E-15,0.29308544,0.312,0.178,5.22E-11,Secretory,CDC42EP5
Secretory.ATP5E4,0.001675071,0.292243979,0.559,0.547,1,Secretory,ATP5E
Secretory.DUSP231,5.28E-09,0.291017064,0.781,0.691,0.000164719,Secretory,DUSP23
Secretory.FXYD3,1.20E-08,0.289734509,0.784,0.7,0.000375626,Secretory,FXYD3
Secretory.SMIM221,1.47E-12,0.289715097,0.881,0.785,4.58E-08,Secretory,SMIM22
Secretory.GPRC5A2,5.54E-06,0.287620823,0.807,0.746,0.172722449,Secretory,GPRC5A
Secretory.MACC11,9.80E-07,0.287509334,0.486,0.387,0.03058958,Secretory,MACC1
Secretory.MMP73,5.06E-07,0.286480671,0.402,0.315,0.015779273,Secretory,MMP7
Secretory.TTC9,1.08E-15,0.282662611,0.336,0.178,3.37E-11,Secretory,TTC9
Secretory.SLC25A373,1.27E-06,0.281900034,0.689,0.585,0.039559933,Secretory,SLC25A37
Ciliated.IGFBP73,1.96E-185,2.254890286,0.938,0.495,6.11E-181,Ciliated,IGFBP7
Ciliated.CAPS1,3.64E-118,2.182645514,0.779,0.355,1.14E-113,Ciliated,CAPS
Ciliated.C9orf24,2.54E-52,2.122528733,0.256,0.023,7.92E-48,Ciliated,C9orf24
Ciliated.TMEM190,3.62E-38,2.119963774,0.183,0.009,1.13E-33,Ciliated,TMEM190
Ciliated.C20orf85,2.62E-51,2.082422595,0.241,0.013,8.18E-47,Ciliated,C20orf85
Ciliated.TPPP3,4.85E-30,1.932042535,0.334,0.136,1.51E-25,Ciliated,TPPP3
Ciliated.TSPAN17,3.80E-109,1.766542371,0.816,0.509,1.18E-104,Ciliated,TSPAN1
Ciliated.C1orf194,1.56E-58,1.741905507,0.265,0.016,4.86E-54,Ciliated,C1orf194
Ciliated.RSPH1,2.37E-46,1.676097976,0.294,0.062,7.40E-42,Ciliated,RSPH1
Ciliated.PIFO,7.05E-74,1.653236616,0.464,0.141,2.20E-69,Ciliated,PIFO
Ciliated.OMG,8.06E-40,1.633822784,0.172,0.007,2.51E-35,Ciliated,OMG
Ciliated.SNTN,1.20E-40,1.610088562,0.199,0.018,3.76E-36,Ciliated,SNTN
Ciliated.MMP102,4.00E-41,1.610005071,0.27,0.058,1.25E-36,Ciliated,MMP10
Ciliated.CETN2,5.41E-50,1.554295293,0.718,0.518,1.69E-45,Ciliated,CETN2
Ciliated.FAM183A,7.92E-40,1.480827283,0.287,0.058,2.47E-35,Ciliated,FAM183A
Ciliated.TUBB4B2,2.52E-27,1.456805561,0.798,0.655,7.87E-23,Ciliated,TUBB4B
Ciliated.LRRIQ1,1.47E-67,1.43225444,0.4,0.074,4.57E-63,Ciliated,LRRIQ1
Ciliated.C5orf49,1.14E-80,1.401766653,0.382,0.052,3.54E-76,Ciliated,C5orf49
Ciliated.DNAAF1,9.33E-44,1.35763073,0.211,0.015,2.91E-39,Ciliated,DNAAF1
Ciliated.TUBA1A2,9.39E-55,1.343673576,0.77,0.545,2.93E-50,Ciliated,TUBA1A
Ciliated.SAA13,6.66E-18,1.328009463,0.287,0.146,2.08E-13,Ciliated,SAA1
Ciliated.MORN21,1.48E-50,1.312920208,0.649,0.414,4.61E-46,Ciliated,MORN2
Ciliated.S100A25,4.57E-46,1.287864626,0.704,0.491,1.43E-41,Ciliated,S100A2
Ciliated.CAPSL,7.57E-56,1.282179192,0.245,0.009,2.36E-51,Ciliated,CAPSL
Ciliated.C2orf40,4.33E-38,1.278657776,0.187,0.011,1.35E-33,Ciliated,C2orf40
Ciliated.ODF3B,4.23E-38,1.249252445,0.573,0.383,1.32E-33,Ciliated,ODF3B
Ciliated.EFHC11,9.75E-33,1.248325767,0.486,0.255,3.04E-28,Ciliated,EFHC1
Ciliated.GSTA1,3.21E-10,1.246402146,0.194,0.1,1.00E-05,Ciliated,GSTA1
Ciliated.C9orf116,3.06E-38,1.242257182,0.321,0.092,9.54E-34,Ciliated,C9orf116
Ciliated.ZMYND10,2.28E-54,1.18654025,0.286,0.032,7.11E-50,Ciliated,ZMYND10
Ciliated.C11orf88,6.46E-43,1.157487419,0.188,0.006,2.02E-38,Ciliated,C11orf88
Ciliated.CCDC170,4.96E-38,1.157317339,0.215,0.026,1.55E-33,Ciliated,CCDC170
Ciliated.BASP11,7.76E-92,1.136343536,0.784,0.41,2.42E-87,Ciliated,BASP1
Ciliated.CCDC146,1.30E-40,1.110901899,0.261,0.048,4.07E-36,Ciliated,CCDC146
Ciliated.TSPAN19,1.47E-36,1.109209549,0.175,0.01,4.60E-32,Ciliated,TSPAN19
Ciliated.DYNLRB2,1.69E-40,1.093787758,0.191,0.015,5.27E-36,Ciliated,DYNLRB2
Ciliated.ERICH3,2.79E-47,1.063212834,0.203,0.007,8.71E-43,Ciliated,ERICH3
Ciliated.MS4A8,3.22E-35,1.059923126,0.227,0.032,1.01E-30,Ciliated,MS4A8
Ciliated.FAM92B,8.38E-44,1.057166997,0.189,0.004,2.61E-39,Ciliated,FAM92B
Ciliated.PLAT1,2.94E-51,1.057136181,0.486,0.197,9.16E-47,Ciliated,PLAT
Ciliated.AC007906.2,6.26E-35,1.045877261,0.174,0.01,1.95E-30,Ciliated,AC007906.2
Ciliated.CFAP126,2.21E-78,1.030683279,0.346,0.028,6.89E-74,Ciliated,CFAP126
Ciliated.CCDC78,3.52E-45,1.010331258,0.205,0.014,1.10E-40,Ciliated,CCDC78
Ciliated.MORN5,1.67E-53,1.000139199,0.234,0.007,5.22E-49,Ciliated,MORN5
Ciliated.KRT155,3.11E-48,0.99093043,0.687,0.454,9.71E-44,Ciliated,KRT15
Ciliated.CDHR3,3.28E-32,0.987580061,0.191,0.027,1.02E-27,Ciliated,CDHR3
Ciliated.DNAH5,2.97E-17,0.972580529,0.371,0.208,9.27E-13,Ciliated,DNAH5
Ciliated.FAM229B1,1.73E-58,0.946679853,0.519,0.216,5.40E-54,Ciliated,FAM229B
Ciliated.ADIRF4,3.49E-33,0.941646014,0.693,0.501,1.09E-28,Ciliated,ADIRF
Ciliated.RP1,1.13E-20,0.93660694,0.188,0.037,3.54E-16,Ciliated,RP1
Ciliated.DYNLL13,1.38E-23,0.935711511,0.933,0.864,4.31E-19,Ciliated,DYNLL1
Ciliated.FOXJ1,4.77E-56,0.929295042,0.419,0.123,1.49E-51,Ciliated,FOXJ1
Ciliated.DNALI11,1.03E-58,0.915784898,0.557,0.253,3.21E-54,Ciliated,DNALI1
Ciliated.EFCAB1,1.01E-52,0.909502944,0.249,0.016,3.15E-48,Ciliated,EFCAB1
Ciliated.SAA22,6.85E-13,0.908623903,0.198,0.087,2.14E-08,Ciliated,SAA2
Ciliated.ROPN1L,1.33E-57,0.907158937,0.261,0.014,4.16E-53,Ciliated,ROPN1L
Ciliated.IGF23,2.97E-37,0.896262176,0.484,0.225,9.27E-33,Ciliated,IGF2
Ciliated.DNAH12,2.75E-42,0.88981048,0.181,0.005,8.57E-38,Ciliated,DNAH12
Ciliated.WDR54,1.29E-37,0.876634286,0.479,0.235,4.03E-33,Ciliated,WDR54
Ciliated.CRIP15,5.59E-39,0.875687966,0.661,0.4,1.74E-34,Ciliated,CRIP1
Ciliated.NME5,3.86E-35,0.866547065,0.266,0.07,1.20E-30,Ciliated,NME5
Ciliated.LRRC46,8.46E-45,0.866330878,0.222,0.017,2.64E-40,Ciliated,LRRC46
Ciliated.CALM1,4.98E-41,0.856819785,0.956,0.887,1.55E-36,Ciliated,CALM1
Ciliated.CFAP43,1.06E-44,0.854565068,0.206,0.012,3.31E-40,Ciliated,CFAP43
Ciliated.LDLRAD1,6.97E-38,0.850167752,0.186,0.013,2.17E-33,Ciliated,LDLRAD1
Ciliated.SPAG6,4.66E-39,0.848441417,0.206,0.017,1.45E-34,Ciliated,SPAG6
Ciliated.CFAP53,2.00E-44,0.843414084,0.23,0.024,6.25E-40,Ciliated,CFAP53
Ciliated.C9orf135,2.65E-40,0.840906709,0.195,0.012,8.26E-36,Ciliated,C9orf135
Ciliated.AGR32,3.84E-29,0.836398809,0.786,0.645,1.20E-24,Ciliated,AGR3
Ciliated.SPATA18,2.53E-31,0.835566265,0.221,0.039,7.89E-27,Ciliated,SPATA18
Ciliated.WDR38,1.61E-48,0.831243624,0.216,0.007,5.03E-44,Ciliated,WDR38
Ciliated.KRT196,4.19E-36,0.831190955,0.967,0.912,1.31E-31,Ciliated,KRT19
Ciliated.IK,4.39E-19,0.828226522,0.586,0.456,1.37E-14,Ciliated,IK
Ciliated.ALDH1A1,1.29E-18,0.828148083,0.34,0.187,4.01E-14,Ciliated,ALDH1A1
Ciliated.PRDX51,2.07E-65,0.822200291,0.986,0.948,6.46E-61,Ciliated,PRDX5
Ciliated.SAXO2,5.95E-43,0.818500857,0.218,0.021,1.86E-38,Ciliated,SAXO2
Ciliated.MRPS31,1.19E-14,0.815392562,0.333,0.184,3.72E-10,Ciliated,MRPS31
Ciliated.PLAC8,1.01E-26,0.81151205,0.327,0.138,3.15E-22,Ciliated,PLAC8
Ciliated.PSENEN1,2.72E-33,0.809035688,0.691,0.513,8.49E-29,Ciliated,PSENEN
Ciliated.KIF9,1.64E-42,0.804598046,0.492,0.249,5.10E-38,Ciliated,KIF9
Ciliated.LDHB4,3.73E-40,0.802327118,0.949,0.86,1.17E-35,Ciliated,LDHB
Ciliated.DST1,3.26E-39,0.798979577,0.69,0.459,1.02E-34,Ciliated,DST
Ciliated.CIB13,2.00E-46,0.788621385,0.903,0.807,6.24E-42,Ciliated,CIB1
Ciliated.SYT8,1.25E-44,0.783813834,0.598,0.336,3.91E-40,Ciliated,SYT8
Ciliated.CHST9,9.28E-36,0.780695587,0.246,0.048,2.89E-31,Ciliated,CHST9
Ciliated.HSP90AA13,5.80E-16,0.779698057,0.995,0.975,1.81E-11,Ciliated,HSP90AA1
Ciliated.DYNC2H1,1.01E-34,0.779171469,0.273,0.078,3.16E-30,Ciliated,DYNC2H1
Ciliated.GDF151,5.91E-22,0.778184798,0.635,0.445,1.84E-17,Ciliated,GDF15
Ciliated.STOM,1.26E-66,0.775631603,0.812,0.569,3.92E-62,Ciliated,STOM
Ciliated.NEK5,2.34E-42,0.774754059,0.21,0.018,7.30E-38,Ciliated,NEK5
Ciliated.TCTEX1D2,4.16E-38,0.764926955,0.437,0.199,1.30E-33,Ciliated,TCTEX1D2
Ciliated.SPA17,2.37E-26,0.76320625,0.349,0.154,7.40E-22,Ciliated,SPA17
Ciliated.RSPH4A,7.83E-49,0.763195274,0.211,0.008,2.44E-44,Ciliated,RSPH4A
Ciliated.TUSC31,3.35E-57,0.76083782,0.649,0.331,1.05E-52,Ciliated,TUSC3
Ciliated.FAM216B,1.09E-40,0.760252699,0.175,0.004,3.39E-36,Ciliated,FAM216B
Ciliated.DRC3,2.27E-35,0.754654377,0.208,0.026,7.07E-31,Ciliated,DRC3
Ciliated.ENKUR,8.50E-42,0.751962555,0.217,0.021,2.65E-37,Ciliated,ENKUR
Ciliated.CD91,3.82E-69,0.749439579,0.967,0.888,1.19E-64,Ciliated,CD9
Ciliated.ARMC3,2.68E-45,0.746854647,0.237,0.026,8.38E-41,Ciliated,ARMC3
Ciliated.DZIP3,6.00E-19,0.745690179,0.237,0.091,1.87E-14,Ciliated,DZIP3
Senescence.S100A41,2.66E-122,1.687695563,0.935,0.597,8.29E-118,Senescence,S100A4
Senescence.BPIFA23,1.01E-52,1.525735126,0.356,0.092,3.15E-48,Senescence,BPIFA2
Senescence.CLEC2B3,5.30E-88,1.471917555,0.636,0.273,1.65E-83,Senescence,CLEC2B
Senescence.MT1X3,1.81E-52,1.44459099,0.836,0.634,5.64E-48,Senescence,MT1X
Senescence.CXCL84,2.45E-65,1.33384573,0.607,0.275,7.66E-61,Senescence,CXCL8
Senescence.S100A26,4.13E-68,1.277541301,0.771,0.488,1.29E-63,Senescence,S100A2
Senescence.KRT197,2.04E-88,1.261268636,0.966,0.912,6.37E-84,Senescence,KRT19
Senescence.CTA-293F17.15,1.75E-88,1.217531791,0.586,0.206,5.47E-84,Senescence,CTA-293F17.1
Senescence.CCND14,6.98E-72,1.041378697,0.864,0.672,2.18E-67,Senescence,CCND1
Senescence.LY6D,1.40E-57,1.03531931,0.344,0.065,4.37E-53,Senescence,LY6D
Senescence.PGF2,9.80E-62,1.010116409,0.409,0.103,3.06E-57,Senescence,PGF
Senescence.CTSC2,2.79E-59,1.007999144,0.851,0.673,8.72E-55,Senescence,CTSC
