,subtype,regulon,Z
391,CAF.COL,NFAT5,0.42554550547127057
392,CAF.COL,NFATC2,-0.4891314512757367
393,CAF.COL,NFATC4,0.37270481755517987
394,CAF.COL,NFE2L1,-0.028639687397884306
395,CAF.COL,NFIL3,-0.07757987988571739
396,CAF.COL,NFKB2,0.7555941924937277
397,CAF.COL,NKX2-1,-0.07257199280934937
398,CAF.COL,NR4A3,-0.20949055775240355
399,CAF.COL,ONECUT2,0.002929138189254332
400,CAF.COL,PITX3,-0.17376710701098547
401,CAF.COL,PRDM1,0.028901722868566602
402,CAF.COL,RARG,0.12688301650782097
403,CAF.COL,RBAK,0.11344193285365618
404,CAF.COL,REL,-0.05725386222369584
405,CAF.COL,RELA,0.14559464302056196
406,CAF.COL,RELB,-0.15272198679863747
407,CAF.COL,RFX5,-0.10694299427172012
408,CAF.COL,RFX8,-0.20995368613789794
409,CAF.COL,RUNX1,0.8573799987668987
410,CAF.COL,RXRA,0.3830636581639102
411,CAF.COL,RXRG,-0.42637132632206376
412,CAF.COL,SOX11,1.0270335559980068
413,CAF.COL,SOX15,-0.1426635673088773
414,CAF.COL,SOX4,0.4500975510762698
415,CAF.COL,SOX7,0.1459046018943339
416,CAF.COL,SP1,0.014450688556027973
417,CAF.COL,SP2,-0.05643768700896321
418,CAF.COL,SP6,-0.05544167152438575
419,CAF.COL,SPI1,-0.24942994348523823
420,CAF.COL,SPIB,-0.16436405633494278
421,CAF.COL,SREBF2,-0.04469458908767143
422,CAF.COL,SRF,-0.1180900244922573
423,CAF.COL,STAT1,0.031529398792297283
424,CAF.COL,STAT2,0.79869280442184
425,CAF.COL,TBP,0.8911251749652367
426,CAF.COL,TCF12,0.4522256881035509
427,CAF.COL,TCF7L1,-0.0728379293927746
428,CAF.COL,TCF7L2,-0.04790171989014355
429,CAF.COL,TEAD4,-0.014804990055459209
430,CAF.COL,TFAP2A,-0.13780375391846794
431,CAF.COL,TFCP2L1,0.005124707319378938
432,CAF.COL,TFDP1,-0.18701058329211734
433,CAF.COL,TFE3,0.014072160863292948
434,CAF.COL,TFEB,-0.2067723948740951
435,CAF.COL,TGIF2,0.3028100250364448
436,CAF.COL,THAP1,-0.22947407145601337
437,CAF.COL,THAP11,-0.306365662565995
438,CAF.COL,TP53,0.6749029271923933
439,CAF.COL,TWIST1,1.0262553056136707
440,CAF.COL,USF1,-0.3384854145216516
441,CAF.COL,XBP1,0.5553868658490883
442,CAF.COL,YY1,-0.19821856372224395
443,CAF.COL,YY2,0.1579696803012789
444,CAF.COL,ZBTB33,-0.06290606841597035
445,CAF.COL,ZFP64,0.03643769375676514
446,CAF.COL,ZFP91,0.05316597083256134
447,CAF.COL,ZNF143,0.3475142365367177
448,CAF.COL,ZNF155,0.0005305653230261326
449,CAF.COL,ZNF189,-0.26085714131153287
450,CAF.COL,ZNF319,0.049014448999843176
451,CAF.COL,ZNF320,0.19955174532417255
452,CAF.COL,ZNF383,-0.25274512087759626
453,CAF.COL,ZNF423,0.15438577239791737
454,CAF.COL,ZNF426,-0.004438442234329878
455,CAF.COL,ZNF433,-0.06299224635586617
456,CAF.COL,ZNF526,-0.11993609623695813
457,CAF.COL,ZNF527,0.3055750074600907
458,CAF.COL,ZNF583,0.05291429641835843
459,CAF.COL,ZNF671,-0.6177586804587543
460,CAF.COL,ZNF860,-0.36929133510370904
461,CAF.COL,ZNF91,0.23757150173557703
462,CAF.Complement,AHRR,0.07016264730052273
463,CAF.Complement,ARID3A,-0.21221638503450263
464,CAF.Complement,ARNT,0.20190887844735694
465,CAF.Complement,ATF3,0.10781445314230222
466,CAF.Complement,ATF4,0.19500879961979778
467,CAF.Complement,ATF6,-0.12169741096650635
468,CAF.Complement,BACH1,0.7762324844908951
469,CAF.Complement,BHLHE40,0.023940129324515308
470,CAF.Complement,CEBPA,-0.18708859115271922
471,CAF.Complement,CEBPB,0.9385962134915342
472,CAF.Complement,CEBPD,0.08713143899497844
473,CAF.Complement,CREB1,-0.2104874970829598
474,CAF.Complement,CREB3L1,0.3408242845839567
475,CAF.Complement,CREB3L2,0.025169199538663624
476,CAF.Complement,CREM,-0.2407391382394613
477,CAF.Complement,CUX1,0.007959342972012883
478,CAF.Complement,E2F1,-0.3359436690101871
479,CAF.Complement,E2F2,-0.19640153408194655
480,CAF.Complement,E2F3,0.02803333457330294
481,CAF.Complement,E2F4,-0.19823347229379612
482,CAF.Complement,E2F7,-0.17074136321143796
483,CAF.Complement,E2F8,-0.46929725379311127
484,CAF.Complement,EBF1,-0.4800308274452782
485,CAF.Complement,EGR1,0.14323959467776645
486,CAF.Complement,EGR2,0.07256248744084157
487,CAF.Complement,EHF,0.03824222624885966
488,CAF.Complement,ELF1,0.42340995403806536
489,CAF.Complement,ELF3,0.15940608571358136
490,CAF.Complement,ELK1,0.14111052888206266
491,CAF.Complement,ELK3,0.1436876818155215
492,CAF.Complement,ERF,-0.31307418159823114
493,CAF.Complement,ERG,0.3053164417867402
494,CAF.Complement,ESRRA,-0.12456017269791587
495,CAF.Complement,ETS2,0.027839670991381515
496,CAF.Complement,ETV1,0.35070153027405054
497,CAF.Complement,ETV2,0.33700944938594807
498,CAF.Complement,ETV5,-0.3332340039061993
499,CAF.Complement,ETV7,0.31075325657568004
500,CAF.Complement,FOS,0.02694251992745756
501,CAF.Complement,FOSB,0.03311811852224265
502,CAF.Complement,FOSL1,-0.21533738573576777
503,CAF.Complement,FOXA1,-0.02257219908442001
504,CAF.Complement,FOXF1,-0.40389967244344105
505,CAF.Complement,FOXF2,-0.2367146240055331
506,CAF.Complement,FOXN2,-0.26659079880549374
507,CAF.Complement,FOXO1,0.7241659317635325
508,CAF.Complement,FOXO3,0.33486723419205344
509,CAF.Complement,FOXP1,-0.20105119057278248
510,CAF.Complement,FOXP2,0.7149920442200727
511,CAF.Complement,GABPA,0.054428474752216585
512,CAF.Complement,GATA2,0.03171719651133688
513,CAF.Complement,GATA3,0.4286284730565732
514,CAF.Complement,GATA5,0.1394497794725004
515,CAF.Complement,GATA6,0.3900780612628023
516,CAF.Complement,GLI3,-0.0605759985789811
517,CAF.Complement,GRHL1,0.04884617397892027
